pred,real
14164.1055549,12995.0
9739.67542488,10777.0
10706.1832691,11185.0
9196.05323432,9200.0
2900.31878992,2100.0
2144.5719623,3000.0
3104.95642132,3500.0
19814.2233479,19888.0
14445.0515217,13988.0
1310.49450615,3000.0
8621.5056187,9950.0
2378.64153311,2000.0
18453.9931098,20300.0
12901.7515724,11999.0
2729.96768137,2500.0
8410.69427801,7500.0
16680.8579734,18999.0
2149.99389469,1950.0
2602.29778563,3200.0
18128.3031012,18799.0
6633.77591836,7995.0
15781.1452315,18500.0
3209.90722479,2000.0
1931.05097752,2200.0
18462.2752248,22995.0
2771.82867343,3995.0
15339.7926176,16434.0
6653.47501504,8495.0
11223.5084707,11988.0
16680.8579734,18999.0
3237.15338257,3000.0
7439.82785069,7900.0
6175.48446078,5460.0
18462.2752248,22995.0
14843.8816607,13600.0
13917.4135904,13991.0
9266.97268068,8995.0
5427.23066315,6700.0
14517.5207733,13950.0
12091.0365397,12594.0
6004.13153098,5495.0
10500.2632823,10888.0
4156.94701368,4500.0
1494.1712266,600.0
2349.51673127,2300.0
6136.77608016,6999.0
14306.8934201,14800.0
13574.6102381,12991.0
3403.41944968,3450.0
15468.3806792,16600.0
7467.63117816,8350.0
13801.1016241,14100.0
7426.69807632,10988.0
4652.67977973,4000.0
5840.36148052,4800.0
3149.68628002,2100.0
12495.5635424,11900.0
2761.56329436,1800.0
5877.47791457,6919.0
5403.94188145,5900.0
5877.47791457,6919.0
2829.97882139,1.0
10667.5911757,10500.0
14679.332831,13987.0
2429.63845069,2549.0
13341.8551541,15881.0
2450.28926865,3500.0
14320.8004681,12999.0
13103.876838,13993.0
1553.91686426,1950.0
13560.2507446,11000.0
9316.0861288,8998.0
15703.3734855,14991.0
14705.0224737,14980.0
3121.35133923,2700.0
1269.94579388,2000.0
9830.86695283,9988.0
16440.2029778,16980.0
4056.63750916,4300.0
15339.7926176,16434.0
14579.9295551,14299.0
8343.12217956,8880.0
3806.4105751,3600.0
16254.2772693,17995.0
12845.2034735,12888.0
14551.319235,14244.0
1050.31716124,1300.0
8675.49478977,163.0
3973.37646732,2500.0
16184.7349911,14594.0
13476.5328227,16000.0
4196.71398346,4000.0
9758.64926284,8500.0
5953.19395461,3700.0
1321.94872963,600.0
8888.30023911,8999.0
6214.70459879,5700.0
10285.4267469,9994.0
9311.20194489,9999.0
2894.8450836,2999.0
16054.9276905,16300.0
1748.96405416,2000.0
14583.2596447,13880.0
2820.24820385,2500.0
10141.1547878,11000.0
12716.8164004,11888.0
5929.6391464,4000.0
5264.5177223,6995.0
5041.57209035,4650.0
14210.2323983,14881.0
3970.21039077,3500.0
3636.59095003,3100.0
4056.63750916,4500.0
8264.99400082,8495.0
1928.99363885,1500.0
12901.7515724,11999.0
6679.52141342,6897.0
9374.15323233,8999.0
3861.78192901,5500.0
1272.13926519,1400.0
11724.7361033,10995.0
1836.33547013,1900.0
9761.20084064,10100.0
10138.5591515,8995.0
4939.62102935,5250.0
9209.73476418,10296.0
14843.1744723,13850.0
6823.70093383,7400.0
6354.69085234,6500.0
14108.4062341,14300.0
16716.2454758,16774.0
15730.5020267,16899.0
2888.50000471,2000.0
15468.3806792,16600.0
5788.62905486,6000.0
2643.32170807,1000.0
18453.9931098,20300.0
11337.2167562,11950.0
3426.63521225,3000.0
1729.86887343,2800.0
18128.3031012,18799.0
